"MOTEL_ID","MOTEL_NAME","MOTEL_LABEL","MOTEL_ADDRESS","MOTEL_LOCATION","MOTEL_RATING","MOTEL_AREA","MOTEL_PRICE","MOTEL_CONTENT","MOTEL_VIEWS","MOTEL_IMAGE","MOTEL_PRICE_2","MOTEL_VIEWS_2"
"0","Cho thuê phòng trọ đầy đủ nội thất","Rất tốt","Địa chỉ: Nguyễn Văn Linh, Cần Thơ","Ninh Kiều","5","DT: 24.00 m²","1000000","Đầu tháng sau mình còn 2 phòng trọ bên trong do các bạn sinh viên học xong về quê.  - Diện tích phòng: 14m2 + gác bê tông 8m2 - Nội thất: trần thạch cao, cầu thang bê tông, sàn bê tông, phòng dươc ốp gạch cao 1m2 rất sạch... Xem thêm ","13095","NhaTro/image_motel/15.jpg","Trên 2 triệu","Khá"
"1","Cho thuê phòng trọ mới thoáng mát","Rất tốt","Địa chỉ: 156b1. Đường Nguyễn Tri Phương, p An Khánh, q Ninh Kiều.. tp cần thơ","Ninh Kiều","1","DT: 24.00 m²","1000000","Cho thuê phòng trọ đường Nguyễn Tri Phương,  p An Khánh, q Ninh Kiều. Tp Cần Thơ Phòng trọ mới 100%. Thoáng mát. Không ngập nước.An Ninh. Gần chợ. Gần ủy ban. Trường học. Bv  Dtsd :24 m2 có phòng gác lững  phòng vs. Bếp.wifi. liên hệ. 0908384364... Xem thêm ","1891","NhaTro/image_motel/1.jpg","Trên 2 triệu","Trung Bình"
"2","NHÀ TRỌ ĐƯỜNG TẦM VU , KẾ TU VIỆN , NHÀ HÀNG MÊKONG , CẦU HƯNG LỢI","Trung bình","Địa chỉ: 360 Tầm Vu , phường Hưng Lợi , quận Ninh Kiều TPCT","Ninh Kiều","3","DT: 15.00 m²","1200000","NHÀ TRỌ ĐƯỜNG TẦM VU , KẾ TU VIỆN , NHÀ HÀNG MÊKONG , CẦU HƯNG LỢI ---------- Nhà trọ mình trống phòng giá 1 triệu 2 ,có gác, toilet trong ,wifi free .  Phòng rộng rãi thoáng mát. Cao ráo, sạch sẽ. Nền cao không ngập nước mùa mưa.... Xem thêm ","13095","NhaTro/image_motel/2.jpg","1 triệu - 2 triệu","Khá"
"3","NHÀ TRỌ ĐƯỜNG TẦM VU , GẦN NHÀ HÀNG MÊKONG , CẦU HƯNG LỢI .","Rất tốt","Địa chỉ: 360A ,ĐƯỜNG TẦM VU , PHƯỜNG HƯNG LỢI , QUẬN NINH KIỀU TP CẦN THƠ","Ninh Kiều","3","DT: 15.00 m²","1200000","NHÀ TRỌ ĐƯỜNG TẦM VU , KẾ TU VIỆN , NHÀ HÀNG MÊKONG , CẦU HƯNG LỢI ----------  Nhà trọ mình trống phòng giá 1 triệu 2  ,có gác, toilet trong ,wifi free .  Phòng rộng rãi thoáng mát. Cao ráo, sạch sẽ. Nền cao không ngập nước mùa mưa.... Xem thêm ","21811","NhaTro/image_motel/3.jpg","1 triệu - 2 triệu","Khá"
"4","Phòng trọ, nhà nghỉ Hoàng Phương Đông cần cho thuê","Rất tốt","Địa chỉ: 14R Trần Văn Sắc","Ninh Kiều","2","DT: 25.00 m²","2000000","Cho thuê phòng trọ mới sạch đẹp trang thiết bị đầy đủ máy lạnh, nước nóng,giường tủ. Giờ giấc tự do nằm trong khu dân cư yên tĩnh thích hợp dành cho anh chị đi làm hoặc sinh viên  . Dọn đồ sang là ở được liền không cần phải... Xem thêm ","8011","NhaTro/image_motel/4.jpg","Trên 2 triệu","Trung Bình"
"5","PHÒNG TRỌ MỚI SINH VIÊN CẦN THƠ, đường Nguyễn Văn Linh","Rất tốt","Địa chỉ: Nguyễn Văn Linh, Cần Thơ","Ninh Kiều","5","DT: 16.00 m²","750000","CHO THUÊ PHÒNG TRỌ SINH VIÊN GIÁ RẺ Ở CẦN THƠ -- Gần ngã 4 đường 3.2 & đường Nguyễn Văn Linh, gần siêu thị Mega (st Metro cũ), cửa hàng tiện lợi Vinmart, ... gần trường ĐHCT & ĐHYD, gần bến xe, bệnh viện, chợ... -- Diện tích phòng... Xem thêm ","165196","NhaTro/image_motel/5.jpg","Dưới 1 triệu","Rất tốt"
"6","NHÀ TRỌ MẶT TIỀN ĐƯỜNG SỐ 3 KDC METRO","Trung bình","Địa chỉ: Số 62 đường số 3 khu dân cư metro","Khu dân cư metro","5","DT: 16.00 m²","1000000","Đầu tháng sau mình còn 2 phòng trọ bên trong do các bạn sinh viên học xong về quê.  - Diện tích phòng: 14m2 + gác bê tông 8m2 - Nội thất: trần thạch cao, cầu thang bê tông, sàn bê tông, phòng dươc ốp gạch cao 1m2 rất sạch... Xem thêm ","54222","NhaTro/image_motel/6.jpg","Trên 2 triệu","Tốt"
"7","Cho thuê phòng trọ hẻm 388 đường Nguyễn Văn Cừ 800k/tháng","Rất tốt","Địa chỉ: 388/J23 đường Nguyễn Văn Cừ, P.An Khánh, Q.Ninh Kiều","Ninh Kiều","5","DT: 15.00 m²","800000","- Còn 1 phòng trọ cho thuê có gác hẻm 388 đường Nguyễn Văn Cừ.  - Từ hẻm 388 đi thẳng vào 150m là tới, khu vực an ninh, yên tỉnh, wifi miễn phí, số nhà 388/J23.  - Giá ưu đãi cho sinh viên: 800.000đ/tháng.  - L/H xem phòng: 01273.724.222... Xem thêm ","90362","NhaTro/image_motel/7.jpg","Dưới 1 triệu","Rất tốt"
"8","Cho thuê phòng đối diện Nam Long cách tòa nhà mobifone 200m cách BIG C 500m","Rất tốt","Địa chỉ: Số nhà C11 - Đường số 3 và 26 - KĐTM Hưng phú ( Cty 8 ) - Cái Răng - Cần thơ.","Cái Răng","5","DT: 25.00 m²","1300000","- Cần cho thuê phòng đẹp lung linh lầu 2, lối đi chung, tolet bên ngoài và bên trong phòng, Phòng đối diện khu nhà ở Nam Long ( Cty 8 ) khu dân cư trí thức, nợi ở yên tỉnh, thuận tiện đi các trường đại học, Chuyên Lý... Xem thêm ","67381","NhaTro/image_motel/8.jpg","1 triệu - 2 triệu","Tốt"
"9","Cho thuê nhà đường Trần Vĩnh Kiết, Cần Thơ.","Rất tốt","Địa chỉ: Số nhà 275, đường Trần Vĩnh Kiết, khu vực 2, p. An Bình, q. Ninh Kiều, Tp. Cần Thơ","Ninh Kiều","3","DT: 100.00 m²","3800000","Cho thuê nhà mặt tiền đường Trần Vĩnh Kiết, Cần Thơ. Địa chỉ: Số nhà 275, đường Trần Vĩnh Kiết, khu vực 2, p. An Bình, q. Ninh Kiều, Tp. Cần Thơ (cách đường Nguyễn Văn Cừ vào 500m). Phía sau đất có con kênh nhỏ. Chỗ ở gần bệnh... Xem thêm ","20928","NhaTro/image_motel/9.jpg","Trên 2 triệu","Khá"
