"RE_ID","USER_ID","MOTEL_ID","RE_MOTEL_RATING1","RE_MOTEL_REVIEWS"
"0","0","0","4","nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"1","1","0","2","Vị trí Mặt tiền đường Trần Nam Phú (Lộ ngân hàng) dễ tìm kiếm, dễ đi lại thuận tiện hơn"
"2","2","0","3","nhà trọ toàn nữ. Nhà tui chứ đâu kkk"
"3","3","0","5","Thoáng mát. Giá bình dân"
"4","4","1","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"5","5","1","5","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"6","6","1","5","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"7","7","1","4","nhà trọ thoát mát sạch đẹp luôn không gian yên tĩnh"
"8","8","1","5","Bình thường tiền nào của nấy"
"9","9","1","5","Có sân phơi đồ riêng, nhà để xe nữa, wifi, camera "
"10","10","1","2","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"11","11","1","4","Trên cả tuyệt vời không có gì để bàn cãi"
"12","12","1","4","Khu trọ rất yên tĩnh, sạch sẽ, văn minh. Xung quanh tiện ích đầy đủ, rất OK."
"13","13","2","3","View tạm ổn, phòng rộng rãi thoáng mát"
"14","14","2","4","Chủ trọ quá là dễ thương,phòng trọ tạm ổn"
"15","15","2","1","Tiền trọ cũng không quá mắc so với đất thành thị ,mọi thứ đều ok"
"16","16","2","2","Nếu bạn thích không gian yên tĩnh thì đây là lựa chọn tốt"
"17","17","3","5","Tuy phòng trọ có giá tiền hơi mắc nhưng chất lượng không cần nói"
"18","18","3","5","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"19","19","3","3","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"20","20","3","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"21","21","4","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"22","22","4","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"23","23","4","4","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"24","24","4","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"25","25","5","4","Ở đây ăn nhậu thâu đêm hát hò thoãi mái k sợ chủ nhắc nhỡ...Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"26","26","5","3","Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"27","27","5","5","Nhà trọ rộng rãi nhưng hơi nóng. Yên tâm yên tĩnh yên lòng"
"28","28","5","5","Nhà trọ sạch sẽ, yên tĩnh, an ninh tốt. Phục vụ khách hàng tốt, phòng sạch sẽ"
"29","29","5","4","An ninh chặt chẻ
Quản lí dân dư tốt
Không khí trong lành"
"30","30","5","1","đang ở đây, sạch sẽ, an ninh được ưu tiên cao. Nhà trọ sạch sẽ, giá hợp lý, sẽ tuyệt vời hơn nếu gắn quạt hút vì hơi nóng.
"
"31","31","6","5","Nhà trọ mới sạch đẹp, lối đi rất rộng và thoáng mát. Hẻm rộng có camera của công an, trong nhà trọ cũng có camera rất an ninh."
"32","32","6","5","Giá cả hợp lý. An toàn, an ninh tốt. Gần Đại học Tây Đô."
"33","33","6","3","Nhà trọ mới sạch đẹp, lối đi rất rộng và thoáng mát. Hẻm rộng có camera của công an, trong nhà trọ cũng có camera rất an ninh."
"34","34","6","2","Giá cả hợp lý. An toàn, an ninh tốt. Gần Đại học Tây Đô."
"35","35","6","2","An toàn, rộng rãi, giá cả hợp lý. Nhà trọ giá sinh viên, phòng mới xây, rộng rãi."
"36","36","6","1","Phòng thoáng rộng, gió mát và nắng nhiều"
"37","37","6","1","Nhà trọ thoáng mát, sạch sẽ, yên tĩnh. Sáng thức giấc không gian bình yên như ở quê. Rất thoải mái. Giá cả hợp lý, an ninh, không gian thoáng. Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"38","38","6","5","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"39","39","6","4","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"40","40","7","2","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"41","41","7","3","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"42","42","7","3","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"43","43","7","4","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"44","44","7","3","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"45","45","7","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"46","46","7","4","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"47","47","7","4","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"48","48","7","5","nhà trọ thoát mát sạch đẹp luôn không gian yên tĩnh"
"49","49","7","5","Bình thường tiền nào của nấy"
"50","50","8","4","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"51","51","8","5","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"52","52","8","4","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"53","53","8","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"54","54","8","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"55","55","8","4","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"56","56","8","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"57","57","8","4","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"58","58","8","5","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"59","59","8","4","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"60","60","8","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"61","61","9","4","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"62","62","9","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"63","63","9","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"64","64","9","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"65","65","9","5","Trong thành phố kiếm được nhà trọ như thế này là quá tốt giá cả phải chăng, nhà trọ đẹp, chủ trọ tốt tính vui vẻ, an ninh tốt. Phòng nầy bao tiền 1 tháng vậy các bạn"
"66","66","9","5","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"67","67","9","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"68","68","9","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"69","69","9","3","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"70","70","9","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"71","71","10","5","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
